log_id,topic_id,dimension,value_or_status,weight,source,source_url,consulted_at,scored_by,scored_at,notes
LOG-0011,TOPIC-0002,production_ease_score,8,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0012,TOPIC-0002,monetization_safety_score,9,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0013,TOPIC-0002,demand_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0014,TOPIC-0002,competition_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0015,TOPIC-0003,evergreen_score,8,1/7,Editorial assessment based on topic durability,https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Judgment call: how time-sensitive is this topic's core content, based on the source material reviewed."
LOG-0016,TOPIC-0003,source_availability_score,9,1/7,Wikipedia (cross-checked against secondary sources),https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Multiple authoritative sources cross-checked: Wikipedia, Britannica, engineering organizations (ITA-AITES)."
LOG-0017,TOPIC-0003,visual_rights_availability_score,9,1/7,Wikimedia Commons category search,https://commons.wikimedia.org/wiki/Category:Gotthard_Base_Tunnel,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Wikimedia Commons Category:Gotthard_Base_Tunnel has 209 files (construction, portals, maps) under CC licenses."
LOG-0018,TOPIC-0003,production_ease_score,6,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0019,TOPIC-0003,monetization_safety_score,9,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0020,TOPIC-0003,demand_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0021,TOPIC-0003,competition_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0022,TOPIC-0004,evergreen_score,9,1/7,Editorial assessment based on topic durability,https://en.wikipedia.org/wiki/Liechtenstein,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Judgment call: how time-sensitive is this topic's core content, based on the source material reviewed."
LOG-0023,TOPIC-0004,source_availability_score,9,1/7,Wikipedia (cross-checked against secondary sources),https://en.wikipedia.org/wiki/Liechtenstein,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Extensively documented on Wikipedia (Liechtenstein, European microstates, Liechtenstein-EU relations)."
LOG-0024,TOPIC-0004,visual_rights_availability_score,8,1/7,Wikimedia Commons category search,https://commons.wikimedia.org/wiki/Category:Liechtenstein,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Wikimedia Commons Category:Liechtenstein includes extensive map subcategories (topographic, administrative, historical)."
LOG-0025,TOPIC-0004,production_ease_score,7,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0026,TOPIC-0004,monetization_safety_score,8,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0027,TOPIC-0004,demand_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0028,TOPIC-0004,competition_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0029,TOPIC-0005,evergreen_score,5,1/7,Editorial assessment based on topic durability,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260731-2,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Judgment call: how time-sensitive is this topic's core content, based on the source material reviewed."
LOG-0030,TOPIC-0005,source_availability_score,9,1/7,Wikipedia (cross-checked against secondary sources),https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260731-2,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Official Eurostat 2025 road freight release: Germany-Netherlands corridor = 86.9 million tonnes, the EU's busiest bilateral flow."
LOG-0031,TOPIC-0005,visual_rights_availability_score,7,1/7,Eurostat open data reuse policy (general) -- not individually verified for this dataset,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260731-2,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Visuals would mostly be ORIGINAL custom charts/maps built from Eurostat's open data (Eurostat data is reusable under its standard policy); exact reuse terms for the specific dataset still need confirmation before use.
LOG-0032,TOPIC-0005,production_ease_score,6,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0033,TOPIC-0005,monetization_safety_score,8,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0034,TOPIC-0005,demand_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0035,TOPIC-0005,competition_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
