log_id,niche_id,criterion,value_or_status,weight,data_type,source,source_url,consulted_at,scored_by,scored_at,notes
NLOG-0017,NICHE-02,competition_entry_difficulty_score,4,1/10,INFERRED,"PARITY FIX (2026-09-20): applying the identical reproducible-sample method used for Geography/Cities/Economics -- one defined web search ('best infrastructure engineering megaprojects YouTube channels list 2026'), one real editorial listicle, directly fetched and confirmed to actually name its channels (NOT an aggregator/directory dump, per the explicit exclusion of Feedspot-style sources for this pass): WorthWatch, 'Best Engineering YouTube Channels for Infrastructure'",https://worthwatch.co/best-engineering-channels,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"REVISED from 5 to 4: the prior score rested on only 2-3 named channels (the same weak methodology already corrected for the other 3 niches). Direct fetch of WorthWatch confirms 16 distinct named channels with real subscriber figures (The B1M 4.0M, Real Engineering 5.1M, The Engineering Mindset 4.4M, Practical Engineering 4.8M, The Efficient Engineer 1.5M, Engineering with Rosie 123K, NS Builders 148K, Railways Explained 129K, Building Beautifully 61K, Tiny House Expedition 593K, Transport Matters 7K, Transport for London 76K, plus 4 urbanism-adjacent channels also listed: Not Just Bikes, City Beautiful, CityNerd, RMTransit). Counting only the 12 channels squarely on-topic for infrastructure/engineering (excluding the 4 urbanism-adjacent ones already counted under NICHE-03), this is the MOST crowded of the 4 shortlisted niches under the corrected method (Cities=5 named < Economics=7 named < Geography=9 named < Infrastructure=12 named [16 raw, includes cross-listed urbanism channels]). Scored 4, the lowest of the 4, reflecting this. NOTE: this single source lists real, large, well-established channels across multiple experience tiers (from 7K to 5.1M subscribers), which is itself a signal of a mature, competitive content category."
NLOG-0018,NICHE-02,sustainability_12mo_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (8) after the 2026-09-20 parity review: no public source quantifies a 12-month content-supply forecast for this niche specifically; the underlying premise (an ongoing global megaproject pipeline) is reinforced qualitatively by WorthWatch's confirmed roster of 16 active channels across bridges, transit, and buildings, but remains a labeled editorial judgment, not a measured figure. CLEANUP (2026-09-21): consulted_at cleared -- this row has no external source, so nothing was actually consulted, matching the convention used for every other pure EDITORIAL_OPINION row in this file."
NLOG-0019,NICHE-02,europe_international_fit_score,8,1/10,OBSERVED,"Stage 2 topic research (Gotthard Base Tunnel, EU freight corridor) + real Spanish-language demand check (2026-09-20, see channel-video-registry.csv CH-19, MegaProyectos España)",https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (8) after the Spanish-demand parity check required for this pass: unlike Geography (Memorias de Pez) and Economics (VisualPolitik), no Spanish-language infrastructure/megaprojects channel with a verifiable subscriber count could be found -- MegaProyectos España exists and is dedicated to this exact topic, but its subscriber count is NOT_PUBLICLY_AVAILABLE (the analytics site checked showed a paywalled placeholder, not a real figure) and was NOT used to inflate this score, unlike what happened for the score parity issue previously found for Geography. Score stays at 8 based only on the pre-existing, still-solid Stage 2 evidence (Europe hosts several flagship megaprojects), not on unverifiable Spanish-demand evidence."
NLOG-0020,NICHE-02,originality_feasibility_score,6,1/10,EDITORIAL_OPINION,"Faceless-format audit (2026-09-20, same protocol used for the other 3 niches): The B1M official site (primary) + search on Ultimate Mega Projects' format",https://www.theb1m.com/about,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"REVISED from 8 to 6: unlike Geography (RealLifeLore, Half as Interesting both confirmed genuinely faceless) or Nature/wildlife (Natural World Facts confirmed genuinely faceless), no unambiguous, large, confirmed-faceless channel was found in this niche. The B1M is CONFIRMED host-led (Fred Mills, per its own official site). Ultimate Mega Projects is described by search results as using 'a digital documentary host' -- ambiguous as to whether this is a literal on-camera presenter or an AI/narration persona; not independently confirmed either way in this pass. Original content is still clearly achievable technically (narrating publicly documented projects), but the claim that a *genuinely faceless* format is proven, well-established, and differentiated in this specific niche is weaker than for Geography or Nature/wildlife -- scored down to reflect this, matching the treatment given to Cities/urbanism (score 8, but explicitly noting no faceless comparable was found there either) is not applied here since Cities kept 8 for a different underlying reason (differentiation opportunity from an entirely personal-narrative incumbent); this niche's specific ambiguity about its own two lead examples' format warrants the larger downward revision."
NLOG-0021,NICHE-03,demand_viral_score,6,1/10,OBSERVED,Columbus Underground / City Beautiful,https://columbusunderground.com/7-urbanism-youtube-channels-you-need-to-follow-immediately-we1/,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"City Beautiful's most popular video (Gary, Indiana) has over 5.7 million views."
NLOG-0022,NICHE-03,monetization_feasibility_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Urbanism/policy audience is educated and engaged but a narrower advertiser base than mainstream niches.
NLOG-0023,NICHE-03,production_ease_cost_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Similar complexity to geography: city maps, transit diagrams, and public planning data."
NLOG-0024,NICHE-03,automation_capability_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Research/scripting assistable by AI in a similar way to the geography niche.
NLOG-0025,NICHE-03,visual_legal_availability_score,8,1/10,OBSERVED,"City open-data portals verified for 4 European cities: Amsterdam (data.amsterdam.nl / maps.amsterdam.nl), Barcelona (Open Data BCN), Berlin (daten.berlin.de geoportal), Paris (opendata.paris.fr, ODbL license)",https://data.amsterdam.nl/,2026-09-19,AI-assisted (Claude) -- pending human review,2026-09-19,"REVISED from 7 to 8 and EDITORIAL_OPINION upgraded to OBSERVED: the prior 'not verified per-city' gap is now resolved for 4 real cities, each confirmed to run an active open-data/geodata portal with maps and transit data. Coverage/format quality per individual dataset was not audited -- still requires per-asset confirmation before use, per this project's visual-asset rights policy."
NLOG-0026,NICHE-03,long_and_shorts_potential_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Both formats plausible; single-city case studies suit long-form, quick comparisons suit Shorts."
NLOG-0027,NICHE-03,competition_entry_difficulty_score,7,1/10,INFERRED,"CORRECTED SOURCE (2026-09-20 audit fix): the prior source_url (en.wikipedia.org/wiki/Not_Just_Bikes) was verified by direct fetch to be about ONLY that single channel -- it does not list or compare City Beautiful, CityNerd, or Donoteat01 and did not actually support the claimed 4-channel sample. Replaced with a real, verified listicle: URBANEXUS, 'Urbanism on YouTube'",https://www.urbanexus.com/pikeurbanexuscom/2025/11/26/urbanism-on-youtube,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CORRECTED (2026-09-19 value of 7 is numerically unchanged, but the source, channel list, and count are entirely different -- not a silent carry-over). Direct fetch of the new source confirms 5 distinct named channels (CityNerd, Banks Rail, Nandert, City Beautiful, Climate Town) -- not Not Just Bikes or Donoteat01. This remains the smallest confirmed count of the 4 shortlisted niches under the corrected method (Cities=5 < Economics=7 < Geography=9 < Wildlife=15+/90 claimed), so the least-saturated conclusion holds, now on real evidence."
NLOG-0028,NICHE-03,sustainability_12mo_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Thousands of cities and ongoing transport/housing policy debates provide long-term topic supply.
NLOG-0029,NICHE-03,europe_international_fit_score,9,1/10,OBSERVED,Not Just Bikes channel focus,https://www.youtube.com/@NotJustBikes,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Not Just Bikes' most-cited content is built around Amsterdam and Dutch urbanism -- European cities are already the flagship examples in this niche.
NLOG-0030,NICHE-03,originality_feasibility_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Achievable with original city-by-city analysis using public data.
NLOG-0031,NICHE-04,demand_viral_score,8,1/10,OBSERVED,Kings and Generals channel stats (Wikitubia/search),https://www.youtube.com/@KingsandGenerals,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"4.07 million subscribers (Jan 2026), 1,919 videos published."
NLOG-0032,NICHE-04,monetization_feasibility_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"History is a well-established, ad-friendly, evergreen YouTube category."
NLOG-0033,NICHE-04,production_ease_cost_score,4,1/10,OBSERVED,Kings and Generals production model (search),https://www.youtube.com/@KingsandGenerals,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Kings and Generals operates via a team of scriptwriters, animators and voice actors -- signals meaningfully higher production cost/complexity than a solo-operator format."
NLOG-0034,NICHE-04,automation_capability_score,4,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Research/scripting assistable; the detailed battle-map animation style is labor-intensive and hard to automate to a competitive quality bar.
NLOG-0035,NICHE-04,visual_legal_availability_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Historical maps, paintings and archival material are frequently public domain, giving good baseline legal availability."
NLOG-0036,NICHE-04,long_and_shorts_potential_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Both formats work; single-battle or single-fact Shorts are common in this niche already.
NLOG-0037,NICHE-04,competition_entry_difficulty_score,3,1/10,OBSERVED,Kings and Generals (4.07M) + Armchair Historian (2.49M) subscriber counts,https://en.wikipedia.org/wiki/The_Armchair_Historian,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Multiple multi-million-subscriber incumbents already dominate animated history content -- among the most saturated niches researched.
NLOG-0038,NICHE-04,sustainability_12mo_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Near-inexhaustible topic supply, but see risk note: even a successful, well-funded channel (Armchair Historian) went on indefinite hiatus in Dec 2025, suggesting production sustainability is a real operator-level risk, not just a topic-supply question."
NLOG-0039,NICHE-04,europe_international_fit_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"European history (wars, empires, borders) is heavily represented in existing successful content."
NLOG-0040,NICHE-04,originality_feasibility_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Harder to differentiate given the number of well-resourced incumbents already covering similar ground.
NLOG-0041,NICHE-05,demand_viral_score,8,1/10,OBSERVED,Animagraffs / Kurzgesagt search results,https://www.youtube.com/@animagraffs,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Animagraffs: 1.7M subscribers, 146M views. Kurzgesagt is a multi-million-subscriber channel (exact current count not re-verified this pass)."
NLOG-0042,NICHE-05,monetization_feasibility_score,8,1/10,INFERRED,Shortimize - Faceless YouTube Channel Ideas,https://www.shortimize.com/blog/faceless-youtube-channel-ideas,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Technology is explicitly cited as a top-CPM advertiser category alongside finance and health.
NLOG-0043,NICHE-05,production_ease_cost_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Kurzgesagt-style polished original animation is expensive/high-skill; simpler explainer formats are more feasible but less differentiated.
NLOG-0044,NICHE-05,automation_capability_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Research/scripting assistable; high-quality original animation is difficult to automate.
NLOG-0045,NICHE-05,visual_legal_availability_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Often requires custom-made diagrams/animations rather than reusing existing open-licensed imagery -- lower legal-availability convenience than map-based niches.
NLOG-0046,NICHE-05,long_and_shorts_potential_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Both formats viable; single-concept Shorts are common in this niche.
NLOG-0047,NICHE-05,competition_entry_difficulty_score,3,1/10,OBSERVED,"Kurzgesagt, Animagraffs, Minute Physics, Science ABC search results",https://www.youtube.com/@kurzgesagt,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Among the most saturated faceless niches researched, with several long-established, well-resourced, multi-million-subscriber incumbents."
NLOG-0048,NICHE-05,sustainability_12mo_score,9,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Effectively unlimited topic supply given the breadth of science and technology.
NLOG-0049,NICHE-05,europe_international_fit_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Broadly global appeal with no specific European differentiation angle.
NLOG-0050,NICHE-05,originality_feasibility_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Difficult to meaningfully differentiate from dominant, well-funded incumbents without a distinctive angle."
NLOG-0051,NICHE-06,demand_viral_score,7,1/10,OBSERVED,Economics Explained channel stats (search),https://www.youtube.com/@EconomicsExplained,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"2.85M subscribers, 424 videos, 359.3M total views."
NLOG-0052,NICHE-06,monetization_feasibility_score,9,1/10,INFERRED,Shortimize - Faceless YouTube Channel Ideas,https://www.shortimize.com/blog/faceless-youtube-channel-ideas,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Finance is explicitly cited as the top-paying advertiser category among faceless niches.
NLOG-0053,NICHE-06,production_ease_cost_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Chart/graph and text-overlay-driven format; moderate production complexity, broadly comparable to the geography niche."
NLOG-0054,NICHE-06,automation_capability_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Data-driven scripts are well-suited to AI-assisted research and drafting.
NLOG-0055,NICHE-06,visual_legal_availability_score,8,1/10,OBSERVED,Eurostat 2025 road freight release (Stage 2 research),https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260731-2,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Confirmed in Stage 2: official EU statistical data (Eurostat) is openly available for chart/visualization use.
NLOG-0056,NICHE-06,long_and_shorts_potential_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Both formats viable; single-statistic Shorts are a natural fit.
NLOG-0057,NICHE-06,competition_entry_difficulty_score,6,1/10,INFERRED,"CORRECTED SOURCE (2026-09-20 audit fix): the prior source_url (en.wikipedia.org/wiki/Sabrina_Cruz) was verified by direct fetch to be about a Canadian YouTuber with NO relation to economics/finance content -- it did not support the claimed 10-channel sample at all. Replaced with a real, verified listicle: MiniTool, '7 Best Economics YouTube Channels to Subscribe to Now'",https://youtubedownload.minitool.com/news/economics-youtube-channels.html,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CORRECTED from the invalid 3 (2026-09-19 pass) to 6. Direct fetch of the new source confirms 7 distinct named channels (Economics Explained, The Economic Times, Jacob Clifford, How Money Works, The Economist, Two Cents, Marginal Revolution University) -- not the 10 previously claimed (Money & Macro, Humphrey Yang, Bald Guy Money, Think Media, Quiet Quest, Patrick Boyle, Financial Times do not appear in this real source). Scored 6 (moderate saturation), consistent with the relative crowding found across the 4 shortlisted niches under this corrected method (Cities=5 named < Economics=7 named < Geography=9 named < Wildlife=15+/90 claimed)."
NLOG-0058,NICHE-06,sustainability_12mo_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Continuous stream of new economic data, policy changes, and events provides ongoing topic supply."
NLOG-0059,NICHE-06,europe_international_fit_score,9,1/10,OBSERVED,"Eurostat data availability (Stage 2 research) + VisualPolitik real Spanish-language audience",https://es.wikipedia.org/wiki/VisualPolitik,2026-09-19,AI-assisted (Claude) -- pending human review,2026-09-19,"REVISED from 8 to 9: in addition to open EU datasets, VisualPolitik (Spanish channel on international politics/economics) is confirmed at approximately 3.47M subscribers -- real, substantial evidence of Spanish-language demand directly adjacent to this niche, not just an assumed gap."
NLOG-0060,NICHE-06,originality_feasibility_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Feasible with a genuinely data-driven, source-cited angle distinct from opinion-based finance content."
NLOG-0061,NICHE-07,demand_viral_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Real, durable homeschool/parent audience exists, but format reach is inherently narrower than general-audience niches."
NLOG-0062,NICHE-07,monetization_feasibility_score,2,1/10,OBSERVED,YouTube official Made for Kids FAQ + Gyre industry analysis,https://support.google.com/youtube/answer/9684541?hl=en,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Made for Kids content has personalized ads, Super Chat/Stickers/Thanks, Channel Memberships, end screens, cards and comments disabled by policy; industry-reported RPM is $1-3 versus $5-15 for general content (Gyre.pro, an estimate, not an official YouTube figure)."
NLOG-0063,NICHE-07,production_ease_cost_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Simple, repeatable educational format (quizzes, basic animation) observed in Homeschool Pop/FreeSchool -- relatively low cost."
NLOG-0064,NICHE-07,automation_capability_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Highly repeatable lesson structure is well-suited to templated, automation-assisted production."
NLOG-0065,NICHE-07,visual_legal_availability_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Educational stock content and open cultural/scientific material (art, music, nature) used by FreeSchool suggests reasonable legal availability."
NLOG-0066,NICHE-07,long_and_shorts_potential_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Structured lessons suit long-form better than Shorts; less natural fit for the short format than other niches.
NLOG-0067,NICHE-07,competition_entry_difficulty_score,4,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Established players (Homeschool Pop, FreeSchool) plus large branded children's content compete for attention."
NLOG-0068,NICHE-07,sustainability_12mo_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Curriculum-based content (math, geography, science basics) is evergreen and reusable across years."
NLOG-0069,NICHE-07,europe_international_fit_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Educational curricula differ meaningfully by country/region, requiring localization beyond simple translation."
NLOG-0070,NICHE-07,originality_feasibility_score,REQUIRES_MANUAL_REVIEW,1/10,REQUIRES_MANUAL_REVIEW,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Compliance with COPPA and the EU's GDPR-K for children's content involves legal complexity beyond this project's current scope -- requires dedicated legal review before scoring originality/feasibility with confidence.
NLOG-0071,NICHE-08,demand_viral_score,7,1/10,OBSERVED,Natural World Facts / Brave Wilderness search results,https://www.youtube.com/c/NaturalWorldFacts,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Natural World Facts ~1.1M+ subscribers; Brave Wilderness (Coyote Peterson) 1.19M subscribers on this channel, 22.99M combined across his channels."
NLOG-0072,NICHE-08,monetization_feasibility_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"General-audience, brand-safe content with moderate advertiser demand; not top-tier CPM like finance/tech."
